Amplitude,Shift,Frequency,Element Ratio,Error
0.35997,1.5708,11.0,0.31622776601683794,0.504316618781432
0.35997,1.5708,11.0,1.0,0.5836317488871473
0.35997,1.5708,11.0,3.1622776601683795,0.50169826416481
0.35997,1.5708,11.0,10.0,0.4037118239688603
0.35997,3.14159,11.0,0.1,0.4765269106086561
0.35997,3.14159,11.0,0.31622776601683794,0.7410413328649094
0.35997,3.14159,11.0,1.0,1.0
0.35997,3.14159,11.0,3.1622776601683795,0.7420255509557071
0.35997,3.14159,11.0,10.0,0.47651023354235705
0.35997,4.71239,11.0,0.1,0.4020155973782035
0.35997,4.71239,11.0,0.31622776601683794,0.4951599935274974
0.35997,4.71239,11.0,1.0,0.5717699822078556
0.35997,4.71239,11.0,3.1622776601683795,0.4990826956574325
0.35997,4.71239,11.0,10.0,0.4024461338670237
0.35997,6.28319,11.0,0.1,0.34549326773978967
0.35997,6.28319,11.0,0.31622776601683794,0.35744759869399423
0.35997,6.28319,11.0,1.0,0.36667020368350484
0.35997,6.28319,11.0,3.1622776601683795,0.3579317959432264
0.35997,6.28319,11.0,10.0,0.3453900739117955
0.58905,0.0,11.0,0.1,0.19224039021777548
0.58905,0.0,11.0,0.31622776601683794,0.23419398046031442
0.58905,0.0,11.0,1.0,0.2659323242369811
0.58905,0.0,11.0,3.1622776601683795,0.23578914445759072
0.58905,0.0,11.0,10.0,0.19265483377748835
0.58905,1.5708,11.0,0.1,0.2536332151402535
0.58905,1.5708,11.0,0.31622776601683794,0.385224676600414
0.58905,1.5708,11.0,1.0,0.5013548318335858
0.58905,1.5708,11.0,3.1622776601683795,0.38613873691771317
0.58905,1.5708,11.0,10.0,0.2513603088546796
0.58905,3.14159,11.0,0.1,0.34214086662171306
0.58905,3.14159,11.0,0.31622776601683794,0.6923909086786857
0.58905,3.14159,11.0,1.0,1.0
0.58905,3.14159,11.0,3.1622776601683795,0.692071209578107
0.58905,3.14159,11.0,10.0,0.3408716957000144
0.58905,4.71239,11.0,0.1,0.2509639113456788
0.58905,4.71239,11.0,0.31622776601683794,0.37749818884406405
0.58905,4.71239,11.0,1.0,0.4858515328874931
0.58905,4.71239,11.0,3.1622776601683795,0.3795659674272011
0.58905,4.71239,11.0,10.0,0.24954772649623028
0.58905,6.28319,11.0,0.1,0.19223262693256218
0.58905,6.28319,11.0,0.31622776601683794,0.2344663664913317
0.58905,6.28319,11.0,1.0,0.26561473664789403
0.58905,6.28319,11.0,3.1622776601683795,0.2340441386957631
0.58905,6.28319,11.0,10.0,0.19192566851475695
0.81812,0.0,11.0,0.1,0.10287583729235625
0.81812,0.0,11.0,0.31622776601683794,0.19429052674510905
0.81812,0.0,11.0,1.0,0.2646877568184864
0.81812,0.0,11.0,3.1622776601683795,0.19520704181529588
0.81812,0.0,11.0,10.0,0.10222640411572134
0.81812,1.5708,11.0,0.1,0.15408180275560973
0.81812,1.5708,11.0,0.31622776601683794,0.32571087954318834
0.81812,1.5708,11.0,1.0,0.4651026385964773
0.81812,1.5708,11.0,3.1622776601683795,0.32047147169781887
0.81812,1.5708,11.0,10.0,0.15180518779916208
0.81812,3.14159,11.0,0.1,0.24481220666574566
0.81812,3.14159,11.0,0.31622776601683794,0.6713100113876068
0.81812,3.14159,11.0,3.1622776601683795,0.672459988268161
0.81812,3.14159,11.0,10.0,0.24848103352159037
0.81812,4.71239,11.0,0.1,0.14591187305394288
0.81812,4.71239,11.0,0.31622776601683794,0.31047465097466787
0.81812,4.71239,11.0,1.0,0.45427320712845176
0.81812,4.71239,11.0,3.1622776601683795,0.31318450755073907
0.81812,4.71239,11.0,10.0,0.14869043968154422
0.81812,6.28319,11.0,0.1,0.10205046726172479
0.81812,6.28319,11.0,0.31622776601683794,0.193212718129682
0.81812,6.28319,11.0,1.0,0.26532949699583974
0.81812,6.28319,11.0,3.1622776601683795,0.19508177823662098
0.81812,6.28319,11.0,10.0,0.10291174243148918
